ts_utc,eth_yes_last,eth_yes_aggressive_buy,eth_yes_aggressive_sell,eth_vol,btc_yes_last,btc_yes_aggressive_buy,btc_yes_aggressive_sell,btc_vol,spread_btcYes_minus_ethYes,spread_ethYes_minus_btcYes,spread_btcYes_minus_ethNo,divergence_logit
2026-04-27 20:30:00+00:00,,,,0.0,0.51,0.55,0.52,173.0,,,,
2026-04-27 20:30:02+00:00,,,,0.0,0.47,0.48,0.45,104.11,,,,
2026-04-27 20:30:04+00:00,,,,0.0,0.46,0.47,0.42,80.8,,,,
2026-04-27 20:30:06+00:00,,,,0.0,0.47,0.48,0.44,74.9,,,,
2026-04-27 20:30:08+00:00,0.47,,0.47,56.0,0.46,0.47,0.3,416.49,-0.009999999999999953,0.009999999999999953,-0.07,-0.04019833823311603
2026-04-27 20:30:10+00:00,0.45,,0.45,25.0,0.45,0.45,0.41,507.63000000000005,0.0,0.0,-0.10000000000000003,0.0
2026-04-27 20:30:12+00:00,0.45,,0.45,0.0,0.44,0.45,0.39,943.14,-0.010000000000000009,0.010000000000000009,-0.11000000000000004,-0.040491361354736854
2026-04-27 20:30:14+00:00,0.45,,0.45,0.0,0.42,0.44,0.4,312.67,-0.030000000000000027,0.030000000000000027,-0.13000000000000006,-0.12210269680089994
2026-04-27 20:30:16+00:00,0.45,,0.45,0.0,0.42,0.44,0.42,1302.6999999999998,-0.030000000000000027,0.030000000000000027,-0.13000000000000006,-0.12210269680089994
2026-04-27 20:30:18+00:00,0.49,0.49,0.45,1.98,0.42,0.43,0.41,2084.2999999999997,-0.07,0.07,-0.09000000000000002,-0.2827680576493519
2026-04-27 20:30:20+00:00,0.46,0.5,0.46,3.95,0.43,0.44,0.42,401.77000000000004,-0.030000000000000027,0.030000000000000027,-0.11000000000000004,-0.12150850206580852
2026-04-27 20:30:22+00:00,0.46,0.5,0.46,0.0,0.43,0.43,0.4,1899.2299999999998,-0.030000000000000027,0.030000000000000027,-0.11000000000000004,-0.12150850206580852
2026-04-27 20:30:24+00:00,0.48,0.5,0.48,2.0,0.42,0.43,0.42,729.53,-0.06,0.06,-0.10000000000000003,-0.2427306845895147
2026-04-27 20:30:26+00:00,0.48,0.5,0.48,0.0,0.42,0.43,0.42,304.6600000000001,-0.06,0.06,-0.10000000000000003,-0.2427306845895147
2026-04-27 20:30:28+00:00,0.48,0.5,0.48,0.0,0.42,0.44,0.42,384.04999999999995,-0.06,0.06,-0.10000000000000003,-0.2427306845895147
2026-04-27 20:30:30+00:00,0.49,0.5,0.48,9.82,0.45,0.46,0.42,1434.5099999999998,-0.03999999999999998,0.03999999999999998,-0.06,-0.160665360848452
2026-04-27 20:30:32+00:00,0.5,0.5,0.48,1.0,0.45,0.46,0.42,1072.57,-0.04999999999999999,0.04999999999999999,-0.04999999999999999,-0.20067069546215124
2026-04-27 20:30:34+00:00,0.5,0.5,0.48,11.25,0.45,0.45,0.44,228.7,-0.04999999999999999,0.04999999999999999,-0.04999999999999999,-0.20067069546215124
2026-04-27 20:30:36+00:00,0.5,0.5,0.48,0.0,0.45,0.46,0.45,295.7100000000001,-0.04999999999999999,0.04999999999999999,-0.04999999999999999,-0.20067069546215124
2026-04-27 20:30:38+00:00,0.48,0.5,0.48,12.0,0.45,0.46,0.45,635.74,-0.02999999999999997,0.02999999999999997,-0.07,-0.12062798778861475
2026-04-27 20:30:40+00:00,0.48,0.5,0.48,0.0,0.45,0.47,0.45,358.64,-0.02999999999999997,0.02999999999999997,-0.07,-0.12062798778861475
2026-04-27 20:30:42+00:00,0.54,0.54,0.48,9.01,0.45,0.47,0.45,608.6400000000001,-0.09000000000000002,0.09000000000000002,-0.009999999999999953,-0.3610133455373307
2026-04-27 20:30:44+00:00,0.48,0.52,0.48,62.0,0.45,0.47,0.45,453.57,-0.02999999999999997,0.02999999999999997,-0.07,-0.12062798778861475
2026-04-27 20:30:46+00:00,0.48,0.52,0.48,0.0,0.45,0.47,0.45,232.15,-0.02999999999999997,0.02999999999999997,-0.07,-0.12062798778861475
2026-04-27 20:30:48+00:00,0.5,0.52,0.48,98.0,0.47,0.48,0.47,461.02000000000004,-0.030000000000000027,0.030000000000000027,-0.030000000000000027,-0.12014431184206334
2026-04-27 20:30:50+00:00,0.53,0.53,0.52,2.0,0.48,0.48,0.47,22.439999999999998,-0.050000000000000044,0.050000000000000044,0.010000000000000009,-0.20018701951559992
2026-04-27 20:30:52+00:00,0.54,0.54,0.52,3.0,0.48,0.48,0.47,234.69000000000003,-0.06000000000000005,0.06000000000000005,0.020000000000000018,-0.24038535774871597
2026-04-27 20:30:54+00:00,0.54,0.54,0.52,0.0,0.47,0.48,0.47,799.5999999999998,-0.07000000000000006,0.07000000000000006,0.010000000000000009,-0.2804869619172428
2026-04-27 20:30:56+00:00,0.57,0.57,0.54,120.0,0.47,0.48,0.47,285.58,-0.09999999999999998,0.09999999999999998,0.039999999999999925,-0.40199546398305086
2026-04-27 20:30:58+00:00,0.55,0.57,0.55,18.6,0.49,0.5,0.48,521.8000000000001,-0.06000000000000005,0.06000000000000005,0.040000000000000036,-0.24067603007585064
2026-04-27 20:31:00+00:00,0.55,0.57,0.55,0.0,0.5,0.5,0.48,37.92,-0.050000000000000044,0.050000000000000044,0.050000000000000044,-0.2006706954621514
2026-04-27 20:31:02+00:00,0.54,0.59,0.54,25.089999999999996,0.5,0.5,0.48,170.04000000000002,-0.040000000000000036,0.040000000000000036,0.040000000000000036,-0.16034265007517948
2026-04-27 20:31:04+00:00,0.54,0.59,0.54,0.0,0.49,0.5,0.49,207.96,-0.050000000000000044,0.050000000000000044,0.030000000000000027,-0.2003479846888787
2026-04-27 20:31:06+00:00,0.55,0.59,0.55,2.98,0.5,0.51,0.49,679.04,-0.050000000000000044,0.050000000000000044,0.050000000000000044,-0.2006706954621514
2026-04-27 20:31:08+00:00,0.59,0.6,0.55,8.0,0.51,0.52,0.49,747.27,-0.07999999999999996,0.07999999999999996,0.09999999999999998,-0.32396004258771227
2026-04-27 20:31:10+00:00,0.58,0.6,0.58,1.0,0.5,0.52,0.5,408.25000000000006,-0.07999999999999996,0.07999999999999996,0.07999999999999996,-0.32277339226305085
2026-04-27 20:31:12+00:00,0.56,0.61,0.56,43.32,0.51,0.51,0.5,35.220000000000006,-0.050000000000000044,0.050000000000000044,0.07000000000000006,-0.20115672220318903
2026-04-27 20:31:14+00:00,0.56,0.61,0.56,0.0,0.5,0.52,0.5,266.75,-0.06000000000000005,0.06000000000000005,0.06000000000000005,-0.24116205681688824
2026-04-27 20:31:16+00:00,0.56,0.61,0.56,0.0,0.52,0.52,0.51,94.88,-0.040000000000000036,0.040000000000000036,0.08000000000000007,-0.1611193491433517
2026-04-27 20:31:18+00:00,0.6,0.6,0.56,1.62,0.51,0.52,0.5,324.24000000000007,-0.08999999999999997,0.08999999999999997,0.10999999999999999,-0.365459773494465
2026-04-27 20:31:20+00:00,0.6,0.6,0.56,0.0,0.55,0.56,0.53,874.6299999999999,-0.04999999999999993,0.04999999999999993,0.15000000000000002,-0.2047944126460128
2026-04-27 20:31:22+00:00,0.6,0.6,0.56,0.0,0.58,0.58,0.55,474.40999999999997,-0.020000000000000018,0.020000000000000018,0.17999999999999994,-0.08269171584511337
2026-04-27 20:31:24+00:00,0.6,0.6,0.56,0.0,0.58,0.59,0.57,1720.9199999999998,-0.020000000000000018,0.020000000000000018,0.17999999999999994,-0.08269171584511337
2026-04-27 20:31:26+00:00,0.64,0.64,0.61,44.879999999999995,0.58,0.6,0.58,559.5500000000001,-0.06000000000000005,0.06000000000000005,0.21999999999999997,-0.25259075264051106
2026-04-27 20:31:28+00:00,0.6,0.64,0.6,39.5,0.58,0.6,0.58,190.07999999999998,-0.020000000000000018,0.020000000000000018,0.17999999999999994,-0.08269171584511337
2026-04-27 20:31:30+00:00,0.64,0.64,0.6,1.0,0.59,0.6,0.58,277.59000000000003,-0.050000000000000044,0.050000000000000044,0.22999999999999998,-0.21139876770215044
2026-04-27 20:31:32+00:00,0.64,0.64,0.6,0.0,0.6,0.6,0.59,526.68,-0.040000000000000036,0.040000000000000036,0.24,-0.1698990367953977
2026-04-27 20:31:34+00:00,0.64,0.64,0.6,0.0,0.59,0.6,0.59,1144.6599999999999,-0.050000000000000044,0.050000000000000044,0.22999999999999998,-0.21139876770215044
