ticker,trade_id,ts,yes_price,count,taker_side,raw_json
KXETH15M-26APR271715-15,8df5faa0-39a6-72a3-70f5-615f73081f08,1777323608,0.35,5.0,yes,"{""count_fp"":""5.00"",""created_time"":""2026-04-27T21:00:08.732301Z"",""no_price_dollars"":""0.6500"",""taker_side"":""yes"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""8df5faa0-39a6-72a3-70f5-615f73081f08"",""yes_price_dollars"":""0.3500""}"
KXETH15M-26APR271715-15,ced018d2-7ea9-67cc-fff4-847560e88ad2,1777323612,0.3,5.0,no,"{""count_fp"":""5.00"",""created_time"":""2026-04-27T21:00:12.823302Z"",""no_price_dollars"":""0.7000"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""ced018d2-7ea9-67cc-fff4-847560e88ad2"",""yes_price_dollars"":""0.3000""}"
KXETH15M-26APR271715-15,8d994086-3ea0-6249-c058-b4a427dd2f54,1777323612,0.3,4.0,no,"{""count_fp"":""4.00"",""created_time"":""2026-04-27T21:00:12.823302Z"",""no_price_dollars"":""0.7000"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""8d994086-3ea0-6249-c058-b4a427dd2f54"",""yes_price_dollars"":""0.3000""}"
KXETH15M-26APR271715-15,a563fcbc-579d-4c17-d034-1c391adf3aba,1777323614,0.33,28.94,yes,"{""count_fp"":""28.94"",""created_time"":""2026-04-27T21:00:14.533888Z"",""no_price_dollars"":""0.6700"",""taker_side"":""yes"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""a563fcbc-579d-4c17-d034-1c391adf3aba"",""yes_price_dollars"":""0.3300""}"
KXETH15M-26APR271715-15,3d54240a-dd57-51e0-152e-cd439273be6c,1777323621,0.32,1.0,yes,"{""count_fp"":""1.00"",""created_time"":""2026-04-27T21:00:21.071518Z"",""no_price_dollars"":""0.6800"",""taker_side"":""yes"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""3d54240a-dd57-51e0-152e-cd439273be6c"",""yes_price_dollars"":""0.3200""}"
KXETH15M-26APR271715-15,3839b24a-5379-629e-701c-7f2decf1c741,1777323622,0.31,9.0,yes,"{""count_fp"":""9.00"",""created_time"":""2026-04-27T21:00:22.661247Z"",""no_price_dollars"":""0.6900"",""taker_side"":""yes"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""3839b24a-5379-629e-701c-7f2decf1c741"",""yes_price_dollars"":""0.3100""}"
KXETH15M-26APR271715-15,f6e84a9c-e021-7cc3-ea44-fd50c39e3d76,1777323624,0.36,376.67,yes,"{""count_fp"":""376.67"",""created_time"":""2026-04-27T21:00:24.626021Z"",""no_price_dollars"":""0.6400"",""taker_side"":""yes"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""f6e84a9c-e021-7cc3-ea44-fd50c39e3d76"",""yes_price_dollars"":""0.3600""}"
KXETH15M-26APR271715-15,e38f740e-b412-7ee0-e0f2-761673d0ecd5,1777323624,0.32,5.0,yes,"{""count_fp"":""5.00"",""created_time"":""2026-04-27T21:00:24.626021Z"",""no_price_dollars"":""0.6800"",""taker_side"":""yes"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""e38f740e-b412-7ee0-e0f2-761673d0ecd5"",""yes_price_dollars"":""0.3200""}"
KXETH15M-26APR271715-15,70941132-5edf-7685-f3d9-e2062da11827,1777323624,0.33,1.0,yes,"{""count_fp"":""1.00"",""created_time"":""2026-04-27T21:00:24.626021Z"",""no_price_dollars"":""0.6700"",""taker_side"":""yes"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""70941132-5edf-7685-f3d9-e2062da11827"",""yes_price_dollars"":""0.3300""}"
KXETH15M-26APR271715-15,6a9269a9-c7a8-7c68-c817-313837fc53a2,1777323624,0.33,28.0,yes,"{""count_fp"":""28.00"",""created_time"":""2026-04-27T21:00:24.626021Z"",""no_price_dollars"":""0.6700"",""taker_side"":""yes"",""ticker"":""KXETH15M-26APR271715-15"",""trade_id"":""6a9269a9-c7a8-7c68-c817-313837fc53a2"",""yes_price_dollars"":""0.3300""}"
