ticker,trade_id,ts,yes_price,count,taker_side,raw_json
KXETH15M-26APR281400-00,3c813fab-f352-69cd-f498-5bf23299b217,1777398307,0.48,66.0,no,"{""count_fp"":""66.00"",""created_time"":""2026-04-28T17:45:07.682132Z"",""no_price_dollars"":""0.5200"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""3c813fab-f352-69cd-f498-5bf23299b217"",""yes_price_dollars"":""0.4800""}"
KXETH15M-26APR281400-00,f66b11b4-1040-655f-0f58-4b5014c80e38,1777398314,0.53,2.0,no,"{""count_fp"":""2.00"",""created_time"":""2026-04-28T17:45:14.118348Z"",""no_price_dollars"":""0.4700"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""f66b11b4-1040-655f-0f58-4b5014c80e38"",""yes_price_dollars"":""0.5300""}"
KXETH15M-26APR281400-00,a171af97-452a-69b9-67ec-6498248c5402,1777398316,0.54,3.0,no,"{""count_fp"":""3.00"",""created_time"":""2026-04-28T17:45:16.028352Z"",""no_price_dollars"":""0.4600"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""a171af97-452a-69b9-67ec-6498248c5402"",""yes_price_dollars"":""0.5400""}"
KXETH15M-26APR281400-00,eee51d6a-140a-6621-9e7a-dc8b85ae44ec,1777398317,0.54,6.0,no,"{""count_fp"":""6.00"",""created_time"":""2026-04-28T17:45:17.467216Z"",""no_price_dollars"":""0.4600"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""eee51d6a-140a-6621-9e7a-dc8b85ae44ec"",""yes_price_dollars"":""0.5400""}"
KXETH15M-26APR281400-00,43a553c0-501d-6116-b194-13feb97a0890,1777398317,0.55,10.0,no,"{""count_fp"":""10.00"",""created_time"":""2026-04-28T17:45:17.467216Z"",""no_price_dollars"":""0.4500"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""43a553c0-501d-6116-b194-13feb97a0890"",""yes_price_dollars"":""0.5500""}"
KXETH15M-26APR281400-00,8b71e10f-0ca6-45bd-6747-ef2c24bcb677,1777398318,0.55,31.42,no,"{""count_fp"":""31.42"",""created_time"":""2026-04-28T17:45:18.966812Z"",""no_price_dollars"":""0.4500"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""8b71e10f-0ca6-45bd-6747-ef2c24bcb677"",""yes_price_dollars"":""0.5500""}"
KXETH15M-26APR281400-00,b4a23843-b74f-7f59-8098-6156fe6819b9,1777398322,0.57,17.0,no,"{""count_fp"":""17.00"",""created_time"":""2026-04-28T17:45:22.573592Z"",""no_price_dollars"":""0.4300"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""b4a23843-b74f-7f59-8098-6156fe6819b9"",""yes_price_dollars"":""0.5700""}"
KXETH15M-26APR281400-00,086da309-1732-769f-a5e3-d4db7ce74685,1777398323,0.52,20.0,no,"{""count_fp"":""20.00"",""created_time"":""2026-04-28T17:45:23.953194Z"",""no_price_dollars"":""0.4800"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""086da309-1732-769f-a5e3-d4db7ce74685"",""yes_price_dollars"":""0.5200""}"
KXETH15M-26APR281400-00,b43becc0-9ea5-781a-98a5-c29c74baeb25,1777398323,0.55,10.0,no,"{""count_fp"":""10.00"",""created_time"":""2026-04-28T17:45:23.907959Z"",""no_price_dollars"":""0.4500"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""b43becc0-9ea5-781a-98a5-c29c74baeb25"",""yes_price_dollars"":""0.5500""}"
KXETH15M-26APR281400-00,3af701b6-a87d-5d8f-210d-24c503fe4f32,1777398323,0.56,100.0,no,"{""count_fp"":""100.00"",""created_time"":""2026-04-28T17:45:23.882718Z"",""no_price_dollars"":""0.4400"",""taker_side"":""no"",""ticker"":""KXETH15M-26APR281400-00"",""trade_id"":""3af701b6-a87d-5d8f-210d-24c503fe4f32"",""yes_price_dollars"":""0.5600""}"
