date,value
2025-12-05,683.6697998046875
2025-12-08,681.6159057617188
2025-12-09,681.027587890625
2025-12-10,685.5443115234375
2025-12-11,687.1395263671875
2025-12-12,679.7514038085938
2025-12-15,678.7244262695312
2025-12-16,676.8699340820312
2025-12-17,669.4219360351562
2025-12-18,674.4769287109375
2025-12-19,680.5900268554688
2025-12-22,684.8300170898438
2025-12-23,687.9600219726562
2025-12-24,690.3800048828125
2025-12-26,690.3099975585938
2025-12-29,687.8499755859375
2025-12-30,687.010009765625
2025-12-31,681.9199829101562
2026-01-02,683.1699829101562
2026-01-05,687.719970703125
2026-01-06,691.8099975585938
2026-01-07,689.5800170898438
2026-01-08,689.510009765625
2026-01-09,694.0700073242188
2026-01-12,695.1599731445312
2026-01-13,693.77001953125
2026-01-14,690.3599853515625
2026-01-15,692.239990234375
2026-01-16,691.6599731445312
2026-01-20,677.5800170898438
2026-01-21,685.4000244140625
2026-01-22,688.97998046875
2026-01-23,689.22998046875
2026-01-26,692.72998046875
2026-01-27,695.489990234375
2026-01-28,695.4199829101562
2026-01-29,694.0399780273438
2026-01-30,691.969970703125
2026-02-02,695.4099731445312
2026-02-03,689.530029296875
2026-02-04,686.1900024414062
2026-02-05,677.6199951171875
2026-02-06,690.6199951171875
2026-02-09,693.9500122070312
2026-02-10,692.1199951171875
2026-02-11,691.9600219726562
2026-02-12,681.27001953125
2026-02-13,681.75
2026-02-17,682.8499755859375
2026-02-18,686.2899780273438
2026-02-19,684.47998046875
2026-02-20,689.4299926757812
2026-02-23,682.3900146484375
2026-02-24,687.3499755859375
2026-02-25,693.1500244140625
2026-02-26,689.2999877929688
2026-02-27,685.989990234375
2026-03-02,686.3800048828125
2026-03-03,680.3300170898438
2026-03-04,685.1300048828125
2026-03-05,681.3099975585938
2026-03-06,672.3800048828125
2026-03-09,678.27001953125
2026-03-10,677.1799926757812
2026-03-11,676.3300170898438
2026-03-12,666.0599975585938
2026-03-13,662.2899780273438
2026-03-16,669.030029296875
