label,net_pnl,total_return_pct,sharpe,max_dd_pct,filled,fill_rate,tp_count,win_rate,settled,profit_factor,avg_win,avg_loss,p_buy_price,p_sell_price,p_entry_cutoff_seconds,p_risk_pct,p_stop_loss_price,p_trailing_stop_trigger,p_trailing_stop_floor,p_vix_min,p_weekend_size_mult,p_single_side,p_max_daily_loss_pct
Cancel=7min,2573.239999999997,257.3239999999997,0.654023659313561,34.36346202594428,764,25.5,266,34.8,500,1.14,85.60298969072166,-43.632,0.1,0.33,420,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2
Cancel=8min,629.9400000000039,62.9940000000004,0.3653493086735924,42.04194269391833,958,32.0,314,32.8,645,1.06,54.40545454545456,-25.33674418604651,0.1,0.33,480,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2
Risk=0.5%,794.6600000000051,79.4660000000005,1.0184034867296419,8.585894601725691,618,20.7,230,37.2,388,1.32,15.370652173913046,-6.883247422680412,0.1,0.33,360,0.005,0.0,0.0,0.0,0.0,1.0,both,0.2
Risk=1.0%,2087.5500000000034,208.75500000000034,1.0398321726875577,16.68915236126773,618,20.7,230,37.2,388,1.3,42.506753246753256,-19.436082474226804,0.1,0.33,360,0.01,0.0,0.0,0.0,0.0,1.0,both,0.2
Risk=1.5%,3638.9200000000037,363.8920000000004,1.0101435862638246,25.992080585309164,618,20.7,230,37.2,389,1.26,78.86902834008096,-39.74113110539846,0.1,0.33,360,0.015,0.0,0.0,0.0,0.0,1.0,both,0.2
Risk=3.0%,3154.1000000000085,315.4100000000009,0.7481783543866706,45.59620099323172,552,18.4,205,37.1,357,1.12,131.36014134275618,-93.0952380952381,0.1,0.33,360,0.03,0.0,0.0,0.0,0.0,1.0,both,0.2
Weekend=0.5x,5437.510000000004,543.7510000000004,1.0562164974346318,30.275270098291397,618,20.7,230,37.2,393,1.24,110.26148409893995,-63.99338422391858,0.1,0.33,360,0.02,0.0,0.0,0.0,0.0,0.5,both,0.2
YES-only,672.51,67.25099999999999,0.6582928541358168,25.35599470955655,313,10.5,108,34.5,205,1.16,53.12339449541284,-24.377073170731713,0.1,0.33,360,0.02,0.0,0.0,0.0,0.0,1.0,yes,0.2
NO-only,2995.6700000000014,299.5670000000001,1.3241007068214523,19.619751516809618,315,10.5,124,39.4,192,1.32,96.6519708029197,-52.05364583333334,0.1,0.33,360,0.02,0.0,0.0,0.0,0.0,1.0,no,0.2
Trail=0.25/0.18,-664.1400000000008,-66.41400000000007,-0.3456938565626896,66.78895272374896,594,19.9,95,16.0,359,0.87,24.795473684210524,-11.769637883008357,0.1,0.33,360,0.02,0.0,0.25,0.18,0.0,1.0,both,0.2
Trail=0.25/0.20,-443.6899999999997,-44.36899999999997,-0.07717983019603201,59.077692879843056,595,19.9,93,15.6,359,0.95,32.770215053763444,-15.25515320334262,0.1,0.33,360,0.02,0.0,0.25,0.2,0.0,1.0,both,0.2
