date,value
2025-12-05,98.98999786376953
2025-12-08,99.08999633789062
2025-12-09,99.22000122070312
2025-12-10,98.79000091552734
2025-12-11,98.3499984741211
2025-12-12,98.4000015258789
2025-12-15,98.1500015258789
2025-12-16,98.1500015258789
2025-12-17,98.37000274658203
2025-12-18,98.43000030517578
2025-12-19,98.5999984741211
2025-12-22,98.29000091552734
2025-12-23,97.94000244140625
2025-12-24,97.9800033569336
2025-12-26,98.0199966430664
2025-12-29,98.04000091552734
2025-12-30,98.23999786376953
2025-12-31,98.27999877929688
2026-01-02,98.41999816894531
2026-01-05,98.2699966430664
2026-01-06,98.58000183105469
2026-01-07,98.68000030517578
2026-01-08,98.93000030517578
2026-01-09,99.12999725341797
2026-01-12,98.86000061035156
2026-01-13,99.12999725341797
2026-01-14,99.12999725341797
2026-01-15,99.31999969482422
2026-01-16,99.38999938964844
2026-01-20,98.63999938964844
2026-01-21,98.76000213623047
2026-01-22,98.36000061035156
2026-01-23,97.5999984741211
2026-01-26,97.04000091552734
2026-01-27,96.22000122070312
2026-01-28,96.44999694824219
2026-01-29,96.27999877929688
2026-01-30,96.98999786376953
2026-02-02,97.61000061035156
2026-02-03,97.44000244140625
2026-02-04,97.62000274658203
2026-02-05,97.81999969482422
2026-02-06,97.62999725341797
2026-02-09,96.81999969482422
2026-02-10,96.80000305175781
2026-02-11,96.83000183105469
2026-02-12,96.93000030517578
2026-02-13,96.87999725341797
2026-02-17,97.16000366210938
2026-02-18,97.69999694824219
2026-02-19,97.93000030517578
2026-02-20,97.80000305175781
2026-02-23,97.69999694824219
2026-02-24,97.87999725341797
2026-02-25,97.69999694824219
2026-02-26,97.79000091552734
2026-02-27,97.61000061035156
2026-03-02,98.37999725341797
2026-03-03,99.05000305175781
2026-03-04,98.7699966430664
2026-03-05,99.31999969482422
2026-03-06,98.98999786376953
2026-03-09,99.18000030517578
2026-03-10,98.83000183105469
2026-03-11,99.2300033569336
2026-03-12,99.73999786376953
2026-03-13,100.36000061035156
2026-03-16,99.70999908447266
2026-03-17,99.58000183105469
