feature,n,corr_pnl,corr_win,mean_val,std_val
price_level_abs50,1290,-0.3314705617153779,-0.648115684790689,0.3120201550387597,0.12982864363267899
vol_total,1290,0.23241402674960748,-0.001661321930301041,62858.4496124031,69518.00630730692
rvol_full,1285,0.19108647558885816,0.22962077053844127,0.4386544410703977,0.33425138191997816
range_early,1290,0.10560855657576063,0.3679493886202744,0.5275434108527132,0.14900185114254116
oi_bar4,1290,-0.08136063562814472,-0.20490768833633544,10661.703875968993,13087.731011559612
spread_min,206,0.03874885265722679,-0.09246617947447938,0.03868932038834951,0.06249082338504393
vol_early,1290,-0.03444871460260045,-0.18402916455010188,17673.24496124031,21151.54360429812
imbalance_bar4,1290,0.03339517789653984,0.018190202090646035,-0.46783119771270704,77.05142051527835
rvol_4bar,1272,-0.02109241498216046,-0.03347429389460178,0.26716955588208946,0.2710796328204776
price_mid_bar4,1290,0.019261694886868158,0.01877623676850637,0.4947325581395348,0.3380233943875256
vol_bar1,1290,0.0052452427261334205,-0.14017514999940858,3187.9821705426357,4932.676498807226
spread_mean,1290,-0.0013131646591215851,0.10674625435545242,0.032775775193798456,0.042025908006077674
