ticker,label,n,r_pct,r_level,r_dollar,note
HYG,HYG,76,0.22626985453145768,-0.37708892792003496,0.32492493464427624,
^GSPC,S&P 500,76,0.17736782429880024,-0.7133192595530902,0.22964310589011055,
GLD,GLD,76,0.14069843161996426,0.33483599859641344,0.13199858832453187,
IEF,IEF,76,0.13857907715799717,0.17430857150456522,0.13008759054491478,
BTC-USD,BTC-USD,114,0.10125125691367431,-0.7545681497162874,0.07994250255090986,
ETH-USD,ETH-USD,114,0.09158183663548955,-0.7361774429153283,0.06906697826031452,
^TNX,10Y yield,76,-0.08918826848197876,0.273853062515373,-0.060669413290091574,
DX-Y.NYB,DXY,76,-0.050459458622852095,0.5975367513363139,-0.09575509621521351,
^MOVE,MOVE,75,-0.04871416348967354,0.7976821770981244,-0.12426690704620363,
UUP,UUP,76,-0.04304222045061447,0.7683045548206313,-0.1303259123498812,
IBIT,IBIT,76,0.03805344113121882,-0.736203992308321,0.07606341576718487,
^VIX,VIX,76,-0.03373251028099461,0.8983387872019447,-0.15418006336786005,
^VVIX,VVIX,76,-0.014648123923107643,0.8305273485692506,-0.17393130010663627,
