open_day,pnl_day,n_mkt,vix,hyg_ret,btc_ret,vix_chg,pnl_next,vix_lag1,vix_chg_lag1,hyg_ret_lag1,btc_ret_lag1
2025-12-12,0.29,1,15.739999771118164,,,,28.849999999999998,,,,
2025-12-14,28.849999999999998,7,,,-0.023516739363752315,,-0.51,15.739999771118164,,,
2025-12-15,-0.51,2,16.5,0.0004965452728131758,-0.019908078936967,,-1.9500000000000004,,,,-0.023516739363752315
2025-12-16,-1.9500000000000004,6,16.479999542236328,0.0006202775144070749,0.01648005936140917,-0.020000457763671875,-0.15000000000000013,16.5,,0.0004965452728131758,-0.019908078936967
2025-12-17,-0.15000000000000013,4,17.6200008392334,-0.0012399779644782782,-0.01935507109105894,1.1400012969970703,34.28,16.479999542236328,-0.020000457763671875,0.0006202775144070749,0.01648005936140917
2025-12-18,34.28,10,16.8700008392334,0.0027310500431456664,-0.007908292107279613,-0.75,26.810000000000002,17.6200008392334,1.1400012969970703,-0.0012399779644782782,-0.01935507109105894
2025-12-19,26.810000000000002,10,14.90999984741211,-0.0004850963211356918,0.03090097713717843,-1.960000991821289,-1.6499999999999995,16.8700008392334,-0.75,0.0027310500431456664,-0.007908292107279613
2025-12-20,-1.6499999999999995,4,,,0.002731077738661547,,7.400000000000001,14.90999984741211,-1.960000991821289,-0.0004850963211356918,0.03090097713717843
2025-12-21,7.400000000000001,8,,,0.0031439599746445612,,28.910000000000007,,,,0.002731077738661547
2025-12-22,28.910000000000007,9,14.079999923706055,0.000871046816105725,-0.0014864790528285043,,-2.8000000000000007,,,,0.0031439599746445612
2025-12-23,-2.8000000000000007,8,14.0,0.0007459481041596216,-0.01215974047919599,-0.07999992370605469,-22.06,14.079999923706055,,0.000871046816105725,-0.0014864790528285043
2025-12-24,-22.06,9,13.470000267028809,0.0018636237848133064,0.0022646365284737513,-0.5299997329711914,-13.84,14.0,-0.07999992370605469,0.0007459481041596216,-0.01215974047919599
2025-12-25,-13.84,11,,,-0.004305562231041726,,8.030000000000005,13.470000267028809,-0.5299997329711914,0.0018636237848133064,0.0022646365284737513
2025-12-26,8.030000000000005,11,13.600000381469727,-0.0004959718411056135,0.0007644603322913834,,-6.009999999999998,,,,-0.004305562231041726
2025-12-27,-6.009999999999998,6,,,0.005735605525503784,,0.8800000000000026,13.600000381469727,,-0.0004959718411056135,0.0007644603322913834
2025-12-28,0.8800000000000026,10,,,0.00038358610925337544,,20.400000000000002,,,,0.005735605525503784
2025-12-29,20.400000000000002,4,14.199999809265137,0.0003721395654330273,-0.007943173820266769,,-1.3199999999999967,,,,0.00038358610925337544
2025-12-30,-1.3199999999999967,7,14.329999923706055,0.0009922578280294747,0.014826942349620564,0.13000011444091797,8.96,14.199999809265137,,0.0003721395654330273,-0.007943173820266769
2025-12-31,8.96,12,14.949999809265137,-0.0009912742284164944,-0.01041844740246467,0.619999885559082,-12.499999999999988,14.329999923706055,0.13000011444091797,0.0009922578280294747,0.014826942349620564
2026-01-01,-12.499999999999988,9,,,0.013977518339667538,,-6.839999999999995,14.949999809265137,0.619999885559082,-0.0009912742284164944,-0.01041844740246467
2026-01-02,-6.839999999999995,14,14.510000228881836,0.0004960333575982911,0.013667122921255048,,5.340000000000004,,,,0.013977518339667538
2026-01-03,5.340000000000004,25,,,0.007321078638514056,,-19.8,14.510000228881836,,0.0004960333575982911,0.013667122921255048
2026-01-04,-19.8,18,,,0.008943445698309516,,32.14000000000001,,,,0.007321078638514056
2026-01-05,32.14000000000001,13,14.899999618530273,0.002603289923519325,0.027009825802690735,,61.37000000000001,,,,0.008943445698309516
2026-01-06,61.37000000000001,20,14.75,0.00024729768220344006,-0.0016352711961346023,-0.14999961853027344,90.77000000000001,14.899999618530273,,0.002603289923519325,0.027009825802690735
2026-01-07,90.77000000000001,29,15.380000114440918,-0.0002472365411798627,-0.025829527204251357,0.630000114440918,-21.239999999999995,14.75,-0.14999961853027344,0.00024729768220344006,-0.0016352711961346023
2026-01-08,-21.239999999999995,23,15.449999809265137,0.0007417977855617153,-0.003076724046541912,0.06999969482421875,130.98000000000002,15.380000114440918,0.630000114440918,-0.0002472365411798627,-0.025829527204251357
2026-01-09,130.98000000000002,32,14.489999771118164,0.0007413431199256859,-0.005646925984974294,-0.9600000381469727,74.11000000000001,15.449999809265137,0.06999969482421875,0.0007417977855617153,-0.003076724046541912
2026-01-10,74.11000000000001,20,,,-0.001397069847536736,,77.05000000000003,14.489999771118164,-0.9600000381469727,0.0007413431199256859,-0.005646925984974294
2026-01-11,77.05000000000003,33,,,0.004876964768804504,,-10.499999999999982,,,,-0.001397069847536736
2026-01-12,-10.499999999999982,19,15.119999885559082,0.0004938626249577638,0.004024457429802286,,361.4100000000001,,,,0.004876964768804504
2026-01-13,361.4100000000001,17,15.979999542236328,0.0,0.04527528885126264,0.8599996566772461,-5.799999999999994,15.119999885559082,,0.0004938626249577638,0.004024457429802286
2026-01-14,-5.799999999999994,16,16.75,0.0,0.016864423365986925,0.7700004577636719,-90.19,15.979999542236328,0.8599996566772461,0.0,0.04527528885126264
2026-01-15,-90.19,15,15.84000015258789,0.0,-0.01421799419905967,-0.9099998474121094,58.28000000000001,16.75,0.7700004577636719,0.0,0.016864423365986925
2026-01-16,58.28000000000001,11,15.859999656677246,0.0006169284833570376,-0.00027284132392391136,0.01999950408935547,52.16000000000002,15.84000015258789,-0.9099998474121094,0.0,-0.01421799419905967
2026-01-17,52.16000000000002,12,,,-0.004451136256293897,,50.40000000000002,15.859999656677246,0.01999950408935547,0.0006169284833570376,-0.00027284132392391136
2026-01-18,50.40000000000002,11,,,-0.01541002514624834,,136.69000000000005,,,,-0.004451136256293897
2026-01-19,136.69000000000005,12,,,-0.011543146480490485,,-21.14000000000001,,,,-0.01541002514624834
2026-01-20,-21.14000000000001,14,20.09000015258789,-0.0025897111240710258,-0.04584033237499219,,8.790000000000003,,,,-0.011543146480490485
2026-01-21,8.790000000000003,9,16.899999618530273,0.002967381664343849,0.012071608510981546,-3.190000534057617,120.25999999999998,20.09000015258789,,-0.0025897111240710258,-0.04584033237499219
2026-01-22,120.25999999999998,9,15.640000343322754,0.0007396980800902231,0.000956534957143873,-1.2599992752075195,-38.609999999999985,16.899999618530273,-3.190000534057617,0.002967381664343849,0.012071608510981546
2026-01-23,-38.609999999999985,14,16.09000015258789,-0.0004928624631848066,0.00046300848627667257,0.4499998092651367,7.899999999999999,15.640000343322754,-1.2599992752075195,0.0007396980800902231,0.000956534957143873
2026-01-24,7.899999999999999,12,,,-0.00439244250598092,,89.39000000000001,16.09000015258789,0.4499998092651367,-0.0004928624631848066,0.00046300848627667257
2026-01-25,89.39000000000001,13,,,-0.028487203509257375,,213.0,,,,-0.00439244250598092
2026-01-26,213.0,14,16.149999618530273,0.0004931054963743797,0.019578126787931138,,-213.57,,,,-0.028487203509257375
2026-01-27,-213.57,16,16.350000381469727,-0.00012328679755002625,0.009464787027023913,0.20000076293945312,286.2200000000001,16.149999618530273,,0.0004931054963743797,0.019578126787931138
2026-01-28,286.2200000000001,20,16.350000381469727,-0.001601502177148828,0.0009202877056453396,0.0,107.40000000000002,16.350000381469727,0.20000076293945312,-0.00012328679755002625,0.009464787027023913
2026-01-29,107.40000000000002,8,16.8799991607666,-0.00012349978423187302,-0.05183614563372574,0.529998779296875,156.82000000000002,16.350000381469727,0.0,-0.001601502177148828,0.0009202877056453396
2026-01-30,156.82000000000002,20,17.440000534057617,0.0011107795824221167,-0.005119696877728619,0.5600013732910156,6.640000000000001,16.8799991607666,0.529998779296875,-0.00012349978423187302,-0.05183614563372574
2026-01-31,6.640000000000001,11,,,-0.06546567255435032,,19.580000000000034,17.440000534057617,0.5600013732910156,0.0011107795824221167,-0.005119696877728619
2026-02-01,19.580000000000034,19,,,-0.02094439679701987,,-47.82999999999997,,,,-0.06546567255435032
2026-02-02,-47.82999999999997,18,16.34000015258789,0.0006070121250458804,0.022271291537603544,,193.95000000000007,,,,-0.02094439679701987
2026-02-03,193.95000000000007,21,18.0,-0.0006190786132069803,-0.03882661934945053,1.6599998474121094,115.70000000000013,16.34000015258789,,0.0006070121250458804,0.022271291537603544
2026-02-04,115.70000000000013,25,18.639999389648438,-0.001238829237509731,-0.03455931736640505,0.6399993896484375,374.9600000000001,18.0,1.6599998474121094,-0.0006190786132069803,-0.03882661934945053
2026-02-05,374.9600000000001,19,21.770000457763672,-0.0011163577845390016,-0.14129892381358544,3.1300010681152344,832.97,18.639999389648438,0.6399993896484375,-0.001238829237509731,-0.03455931736640505
2026-02-06,832.97,16,20.3700008392334,0.0034769629427020554,0.1252476912623226,-1.3999996185302734,214.16000000000005,21.770000457763672,3.1300010681152344,-0.0011163577845390016,-0.14129892381358544
2026-02-07,214.16000000000005,15,,,-0.018048541205989532,,-98.21999999999997,20.3700008392334,-1.3999996185302734,0.0034769629427020554,0.1252476912623226
2026-02-08,-98.21999999999997,12,,,0.014184900201757111,,219.08000000000007,,,,-0.018048541205989532
2026-02-09,219.08000000000007,19,17.360000610351562,0.0013612608759507872,-0.00204861414171964,,167.97000000000006,,,,0.014184900201757111
2026-02-10,167.97000000000006,16,17.790000915527344,-0.000988670696009053,-0.018921927121284043,0.43000030517578125,-314.17999999999995,17.360000610351562,,0.0013612608759507872,-0.00204861414171964
2026-02-11,-314.17999999999995,7,17.649999618530273,-0.00012367057686346605,-0.02619404614799148,-0.1400012969970703,-20.330000000000013,17.790000915527344,0.43000030517578125,-0.000988670696009053,-0.018921927121284043
2026-02-12,-20.330000000000013,9,20.81999969482422,-0.0004948383437968218,-0.011495780977477277,3.1700000762939453,265.73,17.649999618530273,-0.1400012969970703,-0.00012367057686346605,-0.02619404614799148
2026-02-13,265.73,8,20.600000381469727,0.0007425775459732886,0.039805596623848194,-0.2199993133544922,91.99000000000004,20.81999969482422,3.1700000762939453,-0.0004948383437968218,-0.011495780977477277
2026-02-14,91.99000000000004,9,,,0.013212456278809848,,-330.16999999999996,20.600000381469727,-0.2199993133544922,0.0007425775459732886,0.039805596623848194
2026-02-15,-330.16999999999996,13,,,-0.014038567315427408,,-162.91000000000003,,,,0.013212456278809848
2026-02-16,-162.91000000000003,8,,,0.000799101589935125,,292.77,,,,-0.014038567315427408
2026-02-17,292.77,7,20.290000915527344,-0.0004947159650445787,-0.019594358734823403,,1695.2200000000003,,,,0.000799101589935125
2026-02-18,1695.2200000000003,11,19.6200008392334,0.001237544387085343,-0.015836888807606253,-0.6700000762939453,1733.6100000000001,20.290000915527344,,-0.0004947159650445787,-0.019594358734823403
2026-02-19,1733.6100000000001,13,20.229999542236328,0.00037078547771729475,0.008012052068341324,0.6099987030029297,848.4500000000002,19.6200008392334,-0.6700000762939453,0.001237544387085343,-0.015836888807606253
2026-02-20,848.4500000000002,13,19.09000015258789,0.0007412013713883336,0.015650197075734784,-1.1399993896484375,-736.97,20.229999542236328,0.6099987030029297,0.00037078547771729475,0.008012052068341324
2026-02-21,-736.97,8,,,-2.435467576455963e-05,,629.2600000000002,19.09000015258789,-1.1399993896484375,0.0007412013713883336,0.015650197075734784
2026-02-22,629.2600000000002,12,,,-0.005064057803784272,,1910.5000000000002,,,,-2.435467576455963e-05
2026-02-23,1910.5000000000002,20,21.010000228881836,-0.0016048257408179945,-0.04497014110892317,,2275.7100000000005,,,,-0.005064057803784272
2026-02-24,2275.7100000000005,15,19.549999237060547,-0.0007420325358561408,-0.008305824880296298,-1.460000991821289,-143.46999999999994,21.010000228881836,,-0.0016048257408179945,-0.04497014110892317
2026-02-25,-143.46999999999994,14,17.93000030517578,0.0013612608759507872,0.060550552894326426,-1.6199989318847656,1481.3400000000001,19.549999237060547,-1.460000991821289,-0.0007420325358561408,-0.008305824880296298
2026-02-26,1481.3400000000001,13,18.6299991607666,-0.0008651223886207982,-0.007450715585058165,0.6999988555908203,854.97,17.93000030517578,-1.6199989318847656,0.0013612608759507872,0.060550552894326426
2026-02-27,854.97,7,19.860000610351562,-0.0016078980071491111,-0.023304501473983996,1.230001449584961,-2361.31,18.6299991607666,0.6999988555908203,-0.0008651223886207982,-0.007450715585058165
2026-02-28,-2361.31,15,,,0.016910019957618205,,12.720000000000198,19.860000610351562,1.230001449584961,-0.0016078980071491111,-0.023304501473983996
2026-03-01,12.720000000000198,12,,,-0.018773664883674046,,2617.0600000000004,,,,0.016910019957618205
2026-03-02,2617.0600000000004,10,21.440000534057617,-0.0005726367762743934,0.04620988327616793,,-1181.52,,,,-0.018773664883674046
2026-03-03,-1181.52,14,23.56999969482422,-0.0019929750267523305,-0.007011227255569463,2.1299991607666016,1900.3100000000004,21.440000534057617,,-0.0005726367762743934,0.04620988327616793
2026-03-04,1900.3100000000004,12,21.149999618530273,0.0034947425074671745,0.06467555605177866,-2.4200000762939453,-291.26,23.56999969482422,2.1299991607666016,-0.0019929750267523305,-0.007011227255569463
2026-03-05,-291.26,4,23.75,-0.00398009563123225,-0.025710882421896564,2.6000003814697266,186.31000000000003,21.149999618530273,-2.4200000762939453,0.0034947425074671745,0.06467555605177866
2026-03-06,186.31000000000003,7,29.489999771118164,-0.004870122137000221,-0.03817885179689062,5.739999771118164,247.16000000000005,23.75,2.6000003814697266,-0.00398009563123225,-0.025710882421896564
2026-03-07,247.16000000000005,9,,,-0.01267893913767526,,2234.7300000000005,29.489999771118164,5.739999771118164,-0.004870122137000221,-0.03817885179689062
2026-03-08,2234.7300000000005,23,,,-0.01936617019467901,,793.5800000000003,,,,-0.01267893913767526
2026-03-09,793.5800000000003,12,25.5,0.006023286646176018,0.03687448277691541,,-449.29999999999995,,,,-0.01936617019467901
2026-03-10,-449.29999999999995,2,24.93000030517578,-0.001621519974891572,0.022287806357257578,-0.5699996948242188,315.87,25.5,,0.006023286646176018,0.03687448277691541
2026-03-11,315.87,9,24.229999542236328,-0.0022488793492861925,0.003975020350486469,-0.7000007629394531,-1385.26,24.93000030517578,-0.5699996948242188,-0.001621519974891572,0.022287806357257578
2026-03-12,-1385.26,11,27.290000915527344,-0.0063862025085479335,0.004110513591636167,3.0600013732910156,-1407.97,24.229999542236328,-0.7000007629394531,-0.0022488793492861925,0.003975020350486469
2026-03-13,-1407.97,12,27.190000534057617,-0.0018903784343212715,0.006735442992662266,-0.10000038146972656,-1688.65,27.290000915527344,3.0600013732910156,-0.0063862025085479335,0.004110513591636167
2026-03-14,-1688.65,12,,,0.0034714019404360474,,-1090.5299999999997,27.190000534057617,-0.10000038146972656,-0.0018903784343212715,0.006735442992662266
2026-03-15,-1090.5299999999997,15,,,0.022120302711697182,,574.2000000000002,,,,0.0034714019404360474
2026-03-16,574.2000000000002,10,23.510000228881836,0.0031565657781953416,0.028454105238008953,,429.43,,,,0.022120302711697182
2026-03-17,429.43,6,22.3700008392334,0.004531159523971873,-0.01253801442025071,-1.1399993896484375,-68.01000000000005,23.510000228881836,,0.0031565657781953416,0.028454105238008953
2026-03-18,-68.01000000000005,7,25.09000015258789,-0.00513715130004655,-0.0362122396594321,2.719999313354492,90.65000000000003,22.3700008392334,-1.1399993896484375,0.004531159523971873,-0.01253801442025071
2026-03-19,90.65000000000003,5,24.059999465942383,0.003274586035690863,-0.01870697238447039,-1.0300006866455078,-1457.2,25.09000015258789,2.719999313354492,-0.00513715130004655,-0.0362122396594321
2026-03-20,-1457.2,7,26.780000686645508,-0.009289548821801663,0.008722250723753211,2.720001220703125,470.2200000000003,24.059999465942383,-1.0300006866455078,0.003274586035690863,-0.01870697238447039
2026-03-21,470.2200000000003,10,,,-0.025680602546325204,,1549.7400000000002,26.780000686645508,2.720001220703125,-0.009289548821801663,0.008722250723753211
2026-03-22,1549.7400000000002,10,,,-0.012607965253281006,,-550.41,,,,-0.025680602546325204
2026-03-23,-550.41,6,26.149999618530273,0.006589005125769987,0.04524488014825101,,99.17000000000016,,,,-0.012607965253281006
2026-03-24,99.17000000000016,5,26.950000762939453,-0.003398845218567148,-0.005598262529164066,0.8000011444091797,-221.04000000000008,26.149999618530273,,0.006589005125769987,0.04524488014825101
2026-03-25,-221.04000000000008,13,25.329999923706055,0.0031577618514846417,0.011231529778693128,-1.6200008392333984,-418.31,26.950000762939453,0.8000011444091797,-0.003398845218567148,-0.005598262529164066
2026-03-26,-418.31,4,27.440000534057617,-0.006295643559905195,-0.03531428903229905,2.1100006103515625,-482.28999999999996,25.329999923706055,-1.6200008392333984,0.0031577618514846417,0.011231529778693128
2026-03-27,-482.28999999999996,7,31.049999237060547,-0.0025341732499036818,-0.035662044616623034,3.6099987030029297,-1177.3,27.440000534057617,2.1100006103515625,-0.006295643559905195,-0.03531428903229905
2026-03-28,-1177.3,6,,,0.00407133785685887,,,31.049999237060547,3.6099987030029297,-0.0025341732499036818,-0.035662044616623034
