date,value
2025-12-10,52.4900016784668
2025-12-11,52.099998474121094
2025-12-12,51.20000076293945
2025-12-15,48.65999984741211
2025-12-16,49.709999084472656
2025-12-17,48.709999084472656
2025-12-18,47.959999084472656
2025-12-19,49.90999984741211
2025-12-22,50.09000015258789
2025-12-23,49.650001525878906
2025-12-24,49.459999084472656
2025-12-26,49.61000061035156
2025-12-29,49.380001068115234
2025-12-30,49.83000183105469
2025-12-31,49.650001525878906
2026-01-02,50.939998626708984
2026-01-05,53.459999084472656
2026-01-06,52.45000076293945
2026-01-07,51.540000915527344
2026-01-08,51.52000045776367
2026-01-09,51.15999984741211
2026-01-12,51.869998931884766
2026-01-13,53.56999969482422
2026-01-14,55.439998626708984
2026-01-15,54.0
2026-01-16,54.2400016784668
2026-01-20,50.7599983215332
2026-01-21,51.11000061035156
2026-01-22,50.66999816894531
2026-01-23,50.70000076293945
2026-01-26,49.650001525878906
2026-01-27,50.630001068115234
2026-01-28,50.5099983215332
2026-01-29,47.599998474121094
2026-01-30,47.4900016784668
2026-02-02,44.220001220703125
2026-02-03,43.29999923706055
2026-02-04,41.56999969482422
2026-02-05,36.099998474121094
2026-02-06,39.68000030517578
2026-02-09,40.11000061035156
2026-02-10,38.970001220703125
2026-02-11,38.290000915527344
2026-02-12,37.04999923706055
2026-02-13,38.970001220703125
2026-02-17,38.38999938964844
2026-02-18,37.540000915527344
2026-02-19,38.06999969482422
2026-02-20,38.41999816894531
2026-02-23,36.54999923706055
2026-02-24,36.529998779296875
2026-02-25,39.22999954223633
2026-02-26,38.2599983215332
2026-02-27,37.189998626708984
2026-03-02,39.19499969482422
2026-03-03,38.70000076293945
2026-03-04,41.439998626708984
2026-03-05,40.38999938964844
2026-03-06,38.599998474121094
2026-03-09,39.130001068115234
2026-03-10,39.709999084472656
2026-03-11,40.06999969482422
2026-03-12,39.95000076293945
2026-03-13,40.369998931884766
2026-03-16,41.939998626708984
