market,first_plot_ts,last_plot_ts,open_ts,open_day,hour_utc,start_br,end_br,contrib,pnl_exit,first_buy_ts,first_second_fill,fill_first_minute,has_open_ts
KXBTC15M-25DEC171230-30,1765991820.0,1765991880.0,1765991700,2025-12-17,17,1024.9700000000005,1025.8400000000006,0.8700000000001182,0.8799999999999999,1765991820.0,False,False,True
KXBTC15M-25DEC171545-45,1766003640.0,1766004240.0,1766003400,2025-12-17,20,1025.8400000000006,1026.7100000000007,0.8700000000001182,0.8799999999999999,1766003640.0,False,False,True
KXBTC15M-25DEC171615-15,1766005320.0,1766005440.0,1766005200,2025-12-17,21,1026.7100000000007,1026.1800000000007,-0.5299999999999727,-0.51,1766005320.0,False,False,True
KXBTC15M-25DEC180930-30,1766067480.0,1766067540.0,1766067300,2025-12-18,14,1026.1800000000007,1025.260000000001,-0.9199999999998454,-0.9,1766067480.0,False,False,True
KXBTC15M-25DEC181345-45,1766082780.0,1766082840.0,1766082600,2025-12-18,18,1025.260000000001,1025.1500000000008,-0.11000000000012733,-0.1,1766082780.0,False,False,True
KXBTC15M-25DEC181415-15,1766084580.0,1766085000.0,1766084400,2025-12-18,19,1025.1500000000008,1027.480000000001,2.3300000000001546,2.3600000000000003,1766084580.0,False,False,True
KXBTC15M-25DEC181430-30,1766085420.0,1766085780.0,1766085300,2025-12-18,19,1027.480000000001,1028.640000000001,1.1600000000000819,1.17,1766085420.0,False,False,True
KXBTC15M-25DEC181515-15,1766088180.0,1766088300.0,1766088000,2025-12-18,20,1028.640000000001,1027.920000000001,-0.7200000000000273,-0.7,1766088180.0,False,False,True
KXBTC15M-25DEC181530-30,1766089140.0,1766089500.0,1766088900,2025-12-18,20,1027.920000000001,1035.2500000000011,7.330000000000155,7.37,1766089140.0,False,False,True
KXBTC15M-25DEC181615-15,1766091780.0,1766091900.0,1766091600,2025-12-18,21,1035.2500000000011,1033.5100000000011,-1.740000000000009,-1.7000000000000002,1766091780.0,False,False,True
KXBTC15M-25DEC181645-45,1766093640.0,1766094300.0,1766093400,2025-12-18,21,1033.5100000000011,1058.4700000000014,24.960000000000264,25.04,1766093640.0,False,False,True
KXBTC15M-25DEC182115-15,1766109840.0,1766110380.0,1766109600,2025-12-19,2,1058.4700000000014,1061.9900000000014,3.519999999999982,3.5399999999999996,1766109840.0,False,False,True
KXBTC15M-25DEC182215-15,1766113440.0,1766113500.0,1766113200,2025-12-19,3,1061.9900000000014,1060.1600000000014,-1.8299999999999272,-1.8,1766113440.0,False,False,True
KXBTC15M-25DEC191030-30,1766157420.0,1766157660.0,1766157300,2025-12-19,15,1060.1600000000014,1070.7400000000014,10.579999999999927,10.64,1766157420.0,False,False,True
KXBTC15M-25DEC191145-45,1766162040.0,1766162460.0,1766161800,2025-12-19,16,1070.7400000000014,1071.9100000000012,1.1699999999998454,1.1800000000000002,1766162040.0,False,False,True
KXBTC15M-25DEC191245-45,1766165520.0,1766165700.0,1766165400,2025-12-19,17,1071.9100000000012,1058.6800000000012,-13.230000000000018,-13.0,1766165520.0,False,False,True
KXBTC15M-25DEC191300-00,1766166480.0,1766166660.0,1766166300,2025-12-19,17,1058.6800000000012,1070.1300000000012,11.450000000000045,11.520000000000001,1766166480.0,False,False,True
KXBTC15M-25DEC191600-00,1766177340.0,1766177760.0,1766177100,2025-12-19,20,1070.1300000000012,1081.0000000000014,10.870000000000118,10.930000000000001,1766177340.0,False,False,True
KXBTC15M-25DEC191715-15,1766181840.0,1766181900.0,1766181600,2025-12-19,22,1081.0000000000014,1080.3900000000017,-0.6099999999996726,-0.6000000000000001,1766181840.0,False,False,True
KXBTC15M-25DEC191915-15,1766188980.0,1766189580.0,1766188800,2025-12-20,0,1080.3900000000017,1091.2700000000016,10.879999999999882,10.94,1766188980.0,False,False,True
KXBTC15M-25DEC192045-45,1766194380.0,1766194440.0,1766194200,2025-12-20,1,1091.2700000000016,1089.3400000000015,-1.9300000000000637,-1.9,1766194380.0,False,False,True
KXBTC15M-25DEC192130-30,1766197020.0,1766197080.0,1766196900,2025-12-20,2,1089.3400000000015,1088.4200000000014,-0.9200000000000728,-0.9,1766197020.0,False,False,True
KXBTC15M-25DEC192345-45,1766205240.0,1766205300.0,1766205000,2025-12-20,4,1088.4200000000014,1086.3800000000017,-2.0399999999997362,-2.0,1766205240.0,False,False,True
KXBTC15M-25DEC200315-15,1766217840.0,1766217900.0,1766217600,2025-12-20,8,1086.3800000000017,1084.8500000000015,-1.5300000000002,-1.5,1766217840.0,False,False,True
KXBTC15M-25DEC200815-15,1766235780.0,1766236140.0,1766235600,2025-12-20,13,1084.8500000000015,1087.7800000000016,2.9300000000000637,2.9500000000000006,1766235780.0,False,False,True
KXBTC15M-25DEC200915-15,1766239380.0,1766239500.0,1766239200,2025-12-20,14,1087.7800000000016,1085.5400000000016,-2.240000000000009,-2.2,1766239380.0,False,False,True
KXBTC15M-25DEC202230-30,1766287140.0,1766287200.0,1766286900,2025-12-21,3,1085.5400000000016,1084.6200000000017,-0.9199999999998454,-0.9,1766287140.0,False,False,True
KXBTC15M-25DEC210215-15,1766300640.0,1766300700.0,1766300400,2025-12-21,7,1084.6200000000017,1088.1400000000017,3.519999999999982,3.5399999999999996,1766300640.0,False,False,True
KXBTC15M-25DEC210345-45,1766306040.0,1766306100.0,1766305800,2025-12-21,8,1088.1400000000017,1086.7100000000014,-1.430000000000291,-1.4,1766306040.0,False,False,True
KXBTC15M-25DEC210545-45,1766313240.0,1766313540.0,1766313000,2025-12-21,10,1086.7100000000014,1094.0600000000015,7.350000000000136,7.390000000000001,1766313240.0,False,False,True
KXBTC15M-25DEC210845-45,1766323920.0,1766324040.0,1766323800,2025-12-21,13,1094.0600000000015,1087.0400000000016,-7.019999999999982,-6.9,1766323920.0,False,False,True
KXBTC15M-25DEC210900-00,1766324880.0,1766324940.0,1766324700,2025-12-21,13,1087.0400000000016,1085.5100000000016,-1.5299999999999727,-1.5,1766324880.0,False,False,True
KXBTC15M-25DEC211815-15,1766358120.0,1766358480.0,1766358000,2025-12-21,23,1085.5100000000016,1091.2500000000016,5.740000000000009,5.800000000000002,1766358120.0,False,False,True
KXBTC15M-25DEC211830-30,1766358960.0,1766359140.0,1766358900,2025-12-21,23,1091.2500000000016,1093.0100000000016,1.759999999999991,1.7699999999999998,1766358960.0,False,True,True
KXBTC15M-25DEC212115-15,1766368980.0,1766369040.0,1766368800,2025-12-22,2,1093.0100000000016,1091.6800000000017,-1.3299999999999272,-1.3,1766368980.0,False,False,True
KXBTC15M-25DEC220315-15,1766390580.0,1766390940.0,1766390400,2025-12-22,8,1091.6800000000017,1099.3100000000015,7.629999999999882,7.6800000000000015,1766390580.0,False,False,True
KXBTC15M-25DEC220630-30,1766402340.0,1766402820.0,1766402100,2025-12-22,11,1099.3100000000015,1101.3600000000015,2.0499999999999545,2.0700000000000007,1766402340.0,False,False,True
KXBTC15M-25DEC221145-45,1766421240.0,1766421300.0,1766421000,2025-12-22,16,1101.3600000000015,1101.2500000000016,-0.10999999999989996,-0.1,1766421240.0,False,False,True
KXBTC15M-25DEC221515-15,1766433660.0,1766433960.0,1766433600,2025-12-22,20,1101.2500000000016,1116.5300000000016,15.279999999999973,15.370000000000005,1766433660.0,False,True,True
KXBTC15M-25DEC221700-00,1766440020.0,1766440200.0,1766439900,2025-12-22,21,1116.5300000000016,1114.6800000000017,-1.849999999999909,-1.8000000000000005,1766440020.0,False,False,True
KXBTC15M-25DEC221930-30,1766449080.0,1766449500.0,1766448900,2025-12-23,0,1114.6800000000017,1116.1400000000017,1.4600000000000364,1.4700000000000002,1766449080.0,False,False,True
KXBTC15M-25DEC222130-30,1766456280.0,1766456340.0,1766456100,2025-12-23,2,1116.1400000000017,1115.3200000000018,-0.8199999999999363,-0.8,1766456280.0,False,False,True
KXBTC15M-25DEC222200-00,1766458020.0,1766458080.0,1766457900,2025-12-23,2,1115.3200000000018,1117.9600000000016,2.6399999999998727,2.66,1766458020.0,False,False,True
KXBTC15M-25DEC222315-15,1766462640.0,1766462940.0,1766462400,2025-12-23,4,1117.9600000000016,1120.3000000000018,2.3400000000001455,2.3600000000000003,1766462640.0,False,False,True
