ts_utc,eth_yes_last,eth_yes_aggressive_buy,eth_yes_aggressive_sell,eth_vol,btc_yes_last,btc_yes_aggressive_buy,btc_yes_aggressive_sell,btc_vol,spread_btcYes_minus_ethYes,spread_ethYes_minus_btcYes,spread_btcYes_minus_ethNo,divergence_logit
2026-04-28 15:45:00+00:00,,,,0.0,0.48,0.5,0.48,263.6,,,,
2026-04-28 15:45:02+00:00,,,,0.0,0.48,0.5,0.48,0.0,,,,
2026-04-28 15:45:04+00:00,,,,0.0,0.5,0.51,0.4,750.8799999999999,,,,
2026-04-28 15:45:06+00:00,,,,0.0,0.45,0.46,0.36,837.0899999999999,,,,
2026-04-28 15:45:08+00:00,,,,0.0,0.45,0.45,0.44,130.59,,,,
2026-04-28 15:45:10+00:00,,,,0.0,0.43,0.45,0.42,171.48,,,,
2026-04-28 15:45:12+00:00,0.45,,0.45,2.0,0.43,0.44,0.42,76.58999999999999,-0.020000000000000018,0.020000000000000018,-0.12000000000000005,-0.08118045667883664
2026-04-28 15:45:14+00:00,0.49,0.49,0.45,85.32,0.43,0.43,0.41,218.22000000000003,-0.06,0.06,-0.08000000000000002,-0.24184581752728862
2026-04-28 15:45:16+00:00,0.45,0.49,0.45,2.0,0.38,0.41,0.39,150.77,-0.07,0.07,-0.17000000000000004,-0.28887752985655457
2026-04-28 15:45:18+00:00,0.45,0.49,0.45,0.0,0.36,0.38,0.35,290.09,-0.09000000000000002,0.09000000000000002,-0.19000000000000006,-0.3746934494414106
2026-04-28 15:45:20+00:00,0.45,0.49,0.45,0.0,0.39,0.4,0.39,56.870000000000005,-0.06,0.06,-0.16000000000000003,-0.24664152258151353
2026-04-28 15:45:22+00:00,0.45,0.49,0.45,0.0,0.4,0.4,0.39,482.49,-0.04999999999999999,0.04999999999999999,-0.15000000000000002,-0.20479441264601303
2026-04-28 15:45:24+00:00,0.44,0.56,0.44,739.41,0.44,0.47,0.41,1687.1,0.0,0.0,-0.12000000000000005,0.0
2026-04-28 15:45:26+00:00,0.61,0.61,0.44,1.0,0.43,0.44,0.41,227.85,-0.18,0.18,0.03999999999999998,-0.7291633701846527
2026-04-28 15:45:28+00:00,0.54,0.61,0.54,12.0,0.44,0.44,0.43,72.52,-0.10000000000000003,0.10000000000000003,-0.019999999999999962,-0.4015047068920676
2026-04-28 15:45:30+00:00,0.53,0.61,0.53,10.0,0.42,0.44,0.42,260.45,-0.11000000000000004,0.11000000000000004,-0.04999999999999999,-0.4429177041051146
2026-04-28 15:45:32+00:00,0.54,0.61,0.54,33.93,0.42,0.44,0.42,245.98999999999998,-0.12000000000000005,0.12000000000000005,-0.03999999999999998,-0.4831160423382307
2026-04-28 15:45:34+00:00,0.54,0.59,0.54,103.57,0.45,0.45,0.42,356.28000000000003,-0.09000000000000002,0.09000000000000002,-0.009999999999999953,-0.3610133455373307
2026-04-28 15:45:36+00:00,0.54,0.59,0.54,0.0,0.39,0.43,0.39,428.70000000000005,-0.15000000000000002,0.15000000000000002,-0.06999999999999995,-0.6076548681188443
2026-04-28 15:45:38+00:00,0.54,0.59,0.54,0.0,0.39,0.39,0.38,126.10999999999997,-0.15000000000000002,0.15000000000000002,-0.06999999999999995,-0.6076548681188443
2026-04-28 15:45:40+00:00,0.54,0.59,0.54,0.0,0.45,0.44,0.38,349.73,-0.09000000000000002,0.09000000000000002,-0.009999999999999953,-0.3610133455373307
2026-04-28 15:45:42+00:00,0.64,0.64,0.54,20.16,0.48,0.55,0.43,2005.75,-0.16000000000000003,0.16000000000000003,0.12,-0.6554068525770984
2026-04-28 15:45:44+00:00,0.62,0.64,0.62,1.0,0.55,0.55,0.48,434.76,-0.06999999999999995,0.06999999999999995,0.17000000000000004,-0.28887752985655435
2026-04-28 15:45:46+00:00,0.62,0.62,0.62,3.0,0.5,0.53,0.48,219.64999999999998,-0.12,0.12,0.12,-0.4895482253187058
2026-04-28 15:45:48+00:00,0.64,0.64,0.62,22.02,0.52,0.52,0.5,144.07,-0.12,0.12,0.16000000000000003,-0.49532143723002536
2026-04-28 15:45:50+00:00,0.64,0.64,0.62,0.0,0.51,0.53,0.51,54.589999999999996,-0.13,0.13,0.15000000000000002,-0.5353588102898628
2026-04-28 15:45:52+00:00,0.61,0.64,0.58,224.92,0.52,0.53,0.51,365.28,-0.08999999999999997,0.08999999999999997,0.13,-0.3672695103701283
2026-04-28 15:45:54+00:00,0.61,0.64,0.58,0.0,0.53,0.54,0.51,396.81,-0.07999999999999996,0.07999999999999996,0.14,-0.3271679062016014
2026-04-28 15:45:56+00:00,0.61,0.64,0.58,0.0,0.58,0.58,0.56,641.8299999999998,-0.030000000000000027,0.030000000000000027,0.18999999999999995,-0.12453882578061398
2026-04-28 15:45:58+00:00,0.61,0.64,0.58,0.0,0.59,0.59,0.58,93.78,-0.020000000000000018,0.020000000000000018,0.19999999999999996,-0.08334684084225336
2026-04-28 15:46:00+00:00,0.63,0.63,0.62,48.22,0.58,0.59,0.57,125.1,-0.050000000000000044,0.050000000000000044,0.20999999999999996,-0.20944342148425737
2026-04-28 15:46:02+00:00,0.63,0.63,0.62,0.0,0.55,0.56,0.55,444.98,-0.07999999999999996,0.07999999999999996,0.18000000000000005,-0.3315461182851568
2026-04-28 15:46:04+00:00,0.63,0.63,0.62,0.0,0.55,0.55,0.54,238.99,-0.07999999999999996,0.07999999999999996,0.18000000000000005,-0.3315461182851568
2026-04-28 15:46:06+00:00,0.63,0.63,0.63,10.0,0.48,0.55,0.48,163.11,-0.15000000000000002,0.15000000000000002,0.10999999999999999,-0.6122595214208447
2026-04-28 15:46:08+00:00,0.63,0.64,0.63,4.5,0.48,0.5,0.48,161.13,-0.15000000000000002,0.15000000000000002,0.10999999999999999,-0.6122595214208447
2026-04-28 15:46:10+00:00,0.63,0.64,0.63,0.0,0.49,0.49,0.48,432.6,-0.14,0.14,0.12,-0.5722221483610075
2026-04-28 15:46:12+00:00,0.6,0.63,0.6,44.42,0.46,0.49,0.44,115.75,-0.13999999999999996,0.13999999999999996,0.06,-0.5658077581833436
2026-04-28 15:46:14+00:00,0.61,0.63,0.61,1.58,0.5,0.51,0.44,290.27,-0.10999999999999999,0.10999999999999999,0.10999999999999999,-0.44731221804366483
2026-04-28 15:46:16+00:00,0.61,0.63,0.61,0.0,0.51,0.53,0.51,185.17000000000002,-0.09999999999999998,0.09999999999999998,0.12,-0.4073068834299656
2026-04-28 15:46:18+00:00,0.61,0.63,0.61,0.0,0.52,0.54,0.52,276.07,-0.08999999999999997,0.08999999999999997,0.13,-0.3672695103701283
2026-04-28 15:46:20+00:00,0.61,0.63,0.61,0.0,0.54,0.54,0.52,28.310000000000002,-0.06999999999999995,0.06999999999999995,0.15000000000000002,-0.2869695679684854
2026-04-28 15:46:22+00:00,0.61,0.63,0.61,0.0,0.53,0.54,0.52,23.29,-0.07999999999999996,0.07999999999999996,0.14,-0.3271679062016014
2026-04-28 15:46:24+00:00,0.61,0.63,0.61,0.0,0.53,0.53,0.52,67.79,-0.07999999999999996,0.07999999999999996,0.14,-0.3271679062016014
2026-04-28 15:46:26+00:00,0.65,0.65,0.63,10.0,0.53,0.53,0.52,102.36999999999999,-0.12,0.12,0.18000000000000005,-0.4988948965641602
2026-04-28 15:46:28+00:00,0.65,0.65,0.63,0.0,0.53,0.55,0.52,631.46,-0.12,0.12,0.18000000000000005,-0.4988948965641602
2026-04-28 15:46:30+00:00,0.66,0.67,0.64,10.17,0.53,0.53,0.52,216.53000000000003,-0.13,0.13,0.19000000000000006,-0.5431499055682009
2026-04-28 15:46:32+00:00,0.67,0.67,0.64,3.0,0.54,0.56,0.52,2781.709999999999,-0.13,0.13,0.21000000000000008,-0.5478424078493066
2026-04-28 15:46:34+00:00,0.67,0.67,0.64,34.0,0.59,0.59,0.56,351.04,-0.08000000000000007,0.08000000000000007,0.26,-0.3442196807230746
2026-04-28 15:46:36+00:00,0.67,0.67,0.64,0.0,0.58,0.6,0.58,877.7300000000001,-0.09000000000000008,0.09000000000000008,0.25,-0.3854116656614352
2026-04-28 15:46:38+00:00,0.67,0.67,0.64,0.0,0.59,0.59,0.57,192.79000000000002,-0.08000000000000007,0.08000000000000007,0.26,-0.3442196807230746
2026-04-28 15:46:40+00:00,0.69,0.69,0.67,0.71,0.56,0.58,0.54,299.86,-0.1299999999999999,0.1299999999999999,0.25,-0.5589572432952246
